"subject" "activity" "tbodyacc-mean-x" "tbodyacc-mean-y" "tbodyacc-mean-z" "tbodyacc-std-x" "tbodyacc-std-y" "tbodyacc-std-z" "tgravityacc-mean-x" "tgravityacc-mean-y" "tgravityacc-mean-z" "tgravityacc-std-x" "tgravityacc-std-y" "tgravityacc-std-z" "tbodyaccjerk-mean-x" "tbodyaccjerk-mean-y" "tbodyaccjerk-mean-z" "tbodyaccjerk-std-x" "tbodyaccjerk-std-y" "tbodyaccjerk-std-z" "tbodygyro-mean-x" "tbodygyro-mean-y" "tbodygyro-mean-z" "tbodygyro-std-x" "tbodygyro-std-y" "tbodygyro-std-z" "tbodygyrojerk-mean-x" "tbodygyrojerk-mean-y" "tbodygyrojerk-mean-z" "tbodygyrojerk-std-x" "tbodygyrojerk-std-y" "tbodygyrojerk-std-z" "tbodyaccmag-mean" "tbodyaccmag-std" "tgravityaccmag-mean" "tgravityaccmag-std" "tbodyaccjerkmag-mean" "tbodyaccjerkmag-std" "tbodygyromag-mean" "tbodygyromag-std" "tbodygyrojerkmag-mean" "tbodygyrojerkmag-std" "fbodyacc-mean-x" "fbodyacc-mean-y" "fbodyacc-mean-z" "fbodyacc-std-x" "fbodyacc-std-y" "fbodyacc-std-z" "fbodyaccjerk-mean-x" "fbodyaccjerk-mean-y" "fbodyaccjerk-mean-z" "fbodyaccjerk-std-x" "fbodyaccjerk-std-y" "fbodyaccjerk-std-z" "fbodygyro-mean-x" "fbodygyro-mean-y" "fbodygyro-mean-z" "fbodygyro-std-x" "fbodygyro-std-y" "fbodygyro-std-z" "fbodyaccmag-mean" "fbodyaccmag-std" "fbodybodyaccjerkmag-mean" "fbodybodyaccjerkmag-std" "fbodybodygyromag-mean" "fbodybodygyromag-std" "fbodybodygyrojerkmag-mean" "fbodybodygyrojerkmag-std"
24 "laying" 0.281033900571429 -0.0194494098614286 -0.1036581505 -0.976362515428571 -0.954201823857143 -0.967044236428571 -0.344737755285714 0.732661247714286 0.681459210714286 -0.979563942714286 -0.988930714857143 -0.983274524857143 0.0752196666428571 0.0107680190087143 -0.000374189681428571 -0.977463775571429 -0.971049778142857 -0.979517896142857 -0.0267812218571429 -0.0761476351714286 0.0938472163142857 -0.973662822428571 -0.966041673 -0.968889156142857 -0.102277358585714 -0.0384875867528571 -0.0595736770285714 -0.983775833714286 -0.980357062142857 -0.980768874571429 -0.969829984285714 -0.960167907285714 -0.969829984285714 -0.960167907285714 -0.97923282 -0.969642290285714 -0.962284921142857 -0.951264441 -0.985086413428571 -0.976177142571429 -0.974789999285714 -0.959974274571429 -0.970321991714286 -0.977045260571429 -0.9535584 -0.967188198571429 -0.976887901571429 -0.971696279857143 -0.975632420428571 -0.980350748142857 -0.972434196714286 -0.982281553142857 -0.971789052714286 -0.968170332428571 -0.967577361142857 -0.974488400714286 -0.965134152428571 -0.972199238 -0.962840820428571 -0.964051810714286 -0.969949269571429 -0.968087778 -0.962001199 -0.952644449285714 -0.977821335571429 -0.975481548714286
1 "standing" 0.27841883 -0.016410568 -0.12352019 -0.99824528 -0.97530022 -0.96032199 0.96656113 -0.14155127 0.10937881 -0.99741134 -0.98944741 -0.93163868 0.074006709 0.0057711041 0.029376633 -0.99554814 -0.98106363 -0.9918457 -0.01611162 -0.083893777 0.10058429 -0.98311996 -0.9890458 -0.98912123 -0.11050283 -0.044818731 -0.059242822 -0.98987256 -0.9972926 -0.993851 -0.97928915 -0.97605707 -0.97928915 -0.97605707 -0.99125349 -0.99169441 -0.98068314 -0.98375419 -0.9951232 -0.99610164 -0.99745072 -0.97685173 -0.97352267 -0.99868026 -0.97492981 -0.95543811 -0.99503222 -0.98131147 -0.98973975 -0.99665235 -0.98208394 -0.99262682 -0.97738671 -0.99253003 -0.98960578 -0.98490434 -0.98716807 -0.98978468 -0.98085662 -0.97586576 -0.99033549 -0.99196029 -0.98829555 -0.98332192 -0.99585386 -0.99639947
1 "standing" 0.27965306 -0.019467156 -0.11346169 -0.99537956 -0.96718701 -0.97894396 0.9668781 -0.14200984 0.10188392 -0.99957395 -0.99286582 -0.99291723 0.073635962 0.0031040366 -0.0090456308 -0.99074281 -0.98095561 -0.98968664 -0.031698294 -0.10233542 0.096126876 -0.97629211 -0.99355182 -0.98637871 -0.10848567 -0.042410306 -0.055828829 -0.98846185 -0.99563214 -0.99153184 -0.98370313 -0.98801962 -0.98370313 -0.98801962 -0.98853127 -0.9903969 -0.97631707 -0.98605146 -0.99340322 -0.99509104 -0.99359409 -0.97251146 -0.98330396 -0.99631281 -0.96550593 -0.97704932 -0.9909937 -0.98164225 -0.98756628 -0.9912488 -0.98141476 -0.9904159 -0.97543322 -0.99371467 -0.9867557 -0.97664224 -0.99339895 -0.98732821 -0.98779477 -0.98901548 -0.98928007 -0.99086668 -0.98925477 -0.98602772 -0.9950305 -0.99512739
1 "standing" 0.27917394 -0.026200646 -0.12328257 -0.99609149 -0.9834027 -0.9906751 0.96761519 -0.14397645 0.099850143 -0.99664558 -0.98139281 -0.97847643 0.077320614 0.020057642 -0.0098647722 -0.99269737 -0.98755275 -0.99349757 -0.043409983 -0.091386182 0.085537699 -0.9913848 -0.99240732 -0.98755418 -0.091169889 -0.03633262 -0.06046466 -0.9911194 -0.99664096 -0.99332889 -0.98654176 -0.98642135 -0.98654176 -0.98642135 -0.99307804 -0.9933808 -0.98205988 -0.98735112 -0.99550216 -0.9952666 -0.99549062 -0.98356972 -0.99107978 -0.99631211 -0.98324437 -0.99022911 -0.99444663 -0.98872722 -0.99135422 -0.99137827 -0.98692685 -0.99439076 -0.98710958 -0.99360151 -0.98719126 -0.99281036 -0.99164605 -0.98867764 -0.98751866 -0.98674196 -0.99276892 -0.99169983 -0.9894128 -0.98783575 -0.99522071 -0.99523693
1 "standing" 0.27662877 -0.016569655 -0.11536185 -0.99813862 -0.98081727 -0.99048163 0.9682244 -0.14875022 0.094485896 -0.99842928 -0.98809824 -0.97874493 0.073444363 0.019121574 0.016779979 -0.99642017 -0.98835871 -0.9924549 -0.033960416 -0.074708034 0.077392035 -0.98518357 -0.99237812 -0.98740185 -0.090770099 -0.037632533 -0.058289319 -0.99135446 -0.99647298 -0.99451099 -0.99282715 -0.99127536 -0.99282715 -0.99127536 -0.99348 -0.99585371 -0.98520373 -0.98906257 -0.99580756 -0.99525804 -0.99728592 -0.98230099 -0.98836944 -0.99860647 -0.98012947 -0.99191496 -0.99629204 -0.98879002 -0.99062442 -0.99690254 -0.98860666 -0.99290652 -0.98244648 -0.9929838 -0.98866644 -0.98598182 -0.99195582 -0.98794433 -0.99359085 -0.99006346 -0.99552281 -0.99438901 -0.99143303 -0.98905935 -0.99509278 -0.99546483
1 "standing" 0.27719877 -0.01009785 -0.10513725 -0.99733496 -0.99048681 -0.99542003 0.9679482 -0.14820997 0.091909715 -0.9989793 -0.98675389 -0.99730641 0.077932436 0.018684046 0.0093444336 -0.9948136 -0.98871446 -0.99226635 -0.028775508 -0.070393108 0.079012142 -0.9851808 -0.99211748 -0.98307675 -0.094247582 -0.043355261 -0.041935999 -0.99162156 -0.99601465 -0.99309059 -0.99429499 -0.99524897 -0.99429499 -0.99524897 -0.9930177 -0.99542431 -0.9858944 -0.98644027 -0.99527476 -0.99520498 -0.99665675 -0.9869395 -0.9927386 -0.9976438 -0.99226365 -0.99704592 -0.99485071 -0.98824433 -0.99015748 -0.995218 -0.9901788 -0.99306675 -0.98489022 -0.99278621 -0.9807784 -0.98528707 -0.99165953 -0.9853661 -0.99483599 -0.9952833 -0.99473292 -0.99515619 -0.99050002 -0.98586094 -0.99514331 -0.9952387
1 "standing" 0.27945388 -0.019640776 -0.11002215 -0.99692104 -0.96718593 -0.98311783 0.9679295 -0.14428214 0.093144628 -0.99933247 -0.98857468 -0.99201595 0.082170765 -0.01701467 -0.015798166 -0.99520561 -0.98483079 -0.98842507 -0.028600251 -0.083046734 0.095464555 -0.98817723 -0.98920571 -0.9791538 -0.097088606 -0.041589277 -0.044704559 -0.99041853 -0.99541459 -0.9904868 -0.9874657 -0.98274603 -0.9874657 -0.98274603 -0.9913143 -0.98944783 -0.98550069 -0.98462525 -0.99371877 -0.9952695 -0.99584913 -0.96761161 -0.98412325 -0.99746125 -0.96792578 -0.98288731 -0.99475512 -0.98324029 -0.98733724 -0.9962421 -0.98826343 -0.98790847 -0.98602735 -0.99049909 -0.97845604 -0.98878814 -0.98840583 -0.9811471 -0.98213471 -0.98477295 -0.9878858 -0.99054611 -0.9882692 -0.98456854 -0.99564148 -0.99463909
1 "standing" 0.27743247 -0.030488303 -0.12536043 -0.99655926 -0.96672843 -0.98158533 0.96849148 -0.14670536 0.091708159 -0.99811827 -0.97295996 -0.97656878 0.072364228 0.0087478559 -0.0044681354 -0.99527281 -0.98129122 -0.99033964 -0.024200262 -0.07789261 0.094095607 -0.98910723 -0.98740324 -0.97851956 -0.10316236 -0.035546068 -0.063208931 -0.9911036 -0.99579433 -0.99073859 -0.97745766 -0.97599674 -0.97745766 -0.97599674 -0.99085085 -0.99038832 -0.98450563 -0.98683834 -0.99429068 -0.9952107 -0.99519276 -0.97429127 -0.98865193 -0.99727933 -0.96410195 -0.97807586 -0.99494703 -0.9807555 -0.99083807 -0.99612766 -0.98336934 -0.98816283 -0.98733016 -0.99001425 -0.98036083 -0.98960041 -0.9859172 -0.97968102 -0.98218413 -0.9751195 -0.98985144 -0.98979026 -0.98943061 -0.98706484 -0.99562912 -0.99450684
1 "standing" 0.27729342 -0.021750698 -0.12075082 -0.99732847 -0.96124532 -0.98367156 0.96848115 -0.15437401 0.085118255 -0.99778938 -0.9756451 -0.9689613 0.075284365 0.030762704 0.01121195 -0.99647892 -0.98005127 -0.99666607 -0.024831025 -0.066401639 0.077862982 -0.99088198 -0.99289135 -0.98724152 -0.1006944 -0.047715247 -0.067720045 -0.99241954 -0.99631178 -0.99395634 -0.98363087 -0.97751373 -0.98363087 -0.97751373 -0.99332542 -0.99288747 -0.98936978 -0.99091446 -0.99584954 -0.9955883 -0.99709991 -0.96820527 -0.99063224 -0.99736759 -0.95918148 -0.98005989 -0.99669274 -0.98019053 -0.99630723 -0.99650656 -0.98128976 -0.99544136 -0.98909792 -0.99196691 -0.98402803 -0.99137591 -0.99351595 -0.98962879 -0.9831308 -0.9766829 -0.99207263 -0.99289011 -0.99162928 -0.99175866 -0.99526037 -0.99600721
1 "standing" 0.28058569 -0.0099602983 -0.10606516 -0.99480344 -0.9727584 -0.98624387 0.96841804 -0.15630201 0.08087447 -0.99736219 -0.99050162 -0.99674235 0.076369318 0.012518906 0.0030843751 -0.99115561 -0.9692003 -0.98861504 -0.0234154 -0.070925683 0.078975843 -0.98493784 -0.98730376 -0.98084404 -0.098429383 -0.043540216 -0.048562914 -0.98391251 -0.99307848 -0.98439956 -0.98677197 -0.98670243 -0.98677197 -0.98670243 -0.98538815 -0.98364308 -0.98452436 -0.98026379 -0.98979927 -0.9907352 -0.99351933 -0.97031864 -0.98609566 -0.99538845 -0.97479378 -0.98653557 -0.99153425 -0.97084854 -0.98677551 -0.99146811 -0.96931831 -0.98897477 -0.98177767 -0.98800114 -0.97745298 -0.98586913 -0.9868624 -0.98378763 -0.98499403 -0.98902313 -0.98231683 -0.98405698 -0.98478793 -0.98038779 -0.99098121 -0.99059941
